seed,epoch,test-loss,total-acc,test-acc_feature0,test-acc_feature1,test-loss_feature0,test-loss_feature1
1,4900,0.71310169,0.48925781,0.48925781,0.48925781,0.70613313,0.72007018
1,5000,0.71552467,0.48876953,0.48925781,0.48828125,0.70641893,0.72463036
1,5100,0.71766233,0.49267578,0.48925781,0.49609375,0.70636249,0.72896218
1,5200,0.72018433,0.49316406,0.49023438,0.49609375,0.70632982,0.73403871
1,5300,0.72343433,0.48974609,0.48828125,0.49121094,0.70657945,0.74028921
1,5400,0.72703218,0.49121094,0.49023438,0.49218750,0.70706528,0.74699914
1,5500,0.73100090,0.49169922,0.49218750,0.49121094,0.70747721,0.75452465
1,5600,0.73605454,0.49218750,0.49218750,0.49218750,0.70818758,0.76392156
1,5700,0.74020094,0.48632812,0.49121094,0.48144531,0.70782733,0.77257454
1,5800,0.74603081,0.48730469,0.49121094,0.48339844,0.70834124,0.78372025
1,5900,0.75175190,0.49658203,0.49414062,0.49902344,0.70879024,0.79471362
1,6000,0.75499845,0.50292969,0.49218750,0.51367188,0.71004480,0.79995215
1,6100,0.72678071,0.53515625,0.49218750,0.57812500,0.71258539,0.74097610
1,6200,0.57443571,0.64453125,0.48730469,0.80175781,0.72213793,0.42673364
1,6300,0.41561931,0.73242188,0.48437500,0.98046875,0.74645555,0.08478318
1,6400,0.39544973,0.73876953,0.47949219,0.99804688,0.76209342,0.02880595
1,6500,0.39360270,0.73632812,0.47363281,0.99902344,0.77169365,0.01551167
1,6600,0.39399487,0.73486328,0.47070312,0.99902344,0.77776468,0.01022503
1,6700,0.39500862,0.73437500,0.46972656,0.99902344,0.78250051,0.00751675
1,6800,0.39594433,0.73388672,0.46875000,0.99902344,0.78596216,0.00592650
1,6900,0.39692914,0.73437500,0.46972656,0.99902344,0.78897727,0.00488112
1,7000,0.39793223,0.73193359,0.46484375,0.99902344,0.79172772,0.00413673
1,7100,0.39883587,0.73046875,0.46191406,0.99902344,0.79407996,0.00359167
1,7200,0.39961019,0.72998047,0.46093750,0.99902344,0.79604161,0.00317883
1,7300,0.40036669,0.72998047,0.46093750,0.99902344,0.79788363,0.00284969
1,7400,0.40107170,0.72900391,0.45898438,0.99902344,0.79955983,0.00258352
1,7500,0.40174249,0.72900391,0.45898438,0.99902344,0.80111963,0.00236534
1,7600,0.40234029,0.72900391,0.45898438,0.99902344,0.80250400,0.00217657
1,7700,0.40290180,0.73046875,0.46093750,1.00000000,0.80379999,0.00200364
1,7800,0.40342546,0.73095703,0.46191406,1.00000000,0.80499482,0.00185602
1,7900,0.40393621,0.73144531,0.46289062,1.00000000,0.80614525,0.00172716
1,8000,0.40444213,0.73193359,0.46386719,1.00000000,0.80727220,0.00161212
1,8100,0.40489733,0.73193359,0.46386719,1.00000000,0.80828094,0.00151375
1,8200,0.40533820,0.73193359,0.46386719,1.00000000,0.80925107,0.00142533
1,8300,0.40575725,0.73193359,0.46386719,1.00000000,0.81016707,0.00134738
1,8400,0.40617102,0.73144531,0.46289062,1.00000000,0.81106639,0.00127560
1,8500,0.40655509,0.73193359,0.46386719,1.00000000,0.81189930,0.00121082
1,8600,0.40692332,0.73193359,0.46386719,1.00000000,0.81269467,0.00115193
1,8700,0.40727156,0.73144531,0.46289062,1.00000000,0.81344378,0.00109940
1,8800,0.40761694,0.73095703,0.46191406,1.00000000,0.81418478,0.00104919
1,8900,0.40794662,0.73095703,0.46191406,1.00000000,0.81488991,0.00100333
1,9000,0.40826225,0.73095703,0.46191406,1.00000000,0.81556362,0.00096087
1,9100,0.11726154,0.97216797,0.95996094,0.98437500,0.18815747,0.04636561
1,9200,0.00968253,0.99951172,1.00000000,0.99902344,0.01377514,0.00558993
1,9300,0.00343513,1.00000000,1.00000000,1.00000000,0.00453794,0.00233231
1,9400,0.00197658,1.00000000,1.00000000,1.00000000,0.00245429,0.00149887
1,9500,0.00137368,1.00000000,1.00000000,1.00000000,0.00161885,0.00112852
1,9600,0.00105184,1.00000000,1.00000000,1.00000000,0.00118482,0.00091886
1,9700,0.00085217,1.00000000,1.00000000,1.00000000,0.00092381,0.00078053
2,0,0.69824243,0.48144531,0.48242188,0.48046875,0.70195758,0.69452739
2,100,0.69870341,0.48632812,0.48339844,0.48925781,0.70295310,0.69445372
2,200,0.69896954,0.48095703,0.48437500,0.47753906,0.70341867,0.69452047
2,300,0.69908774,0.48486328,0.48437500,0.48535156,0.70360190,0.69457364
2,400,0.69919658,0.48828125,0.48535156,0.49121094,0.70375621,0.69463694
2,500,0.69929695,0.48828125,0.48535156,0.49121094,0.70389652,0.69469750
2,600,0.69940001,0.49023438,0.48535156,0.49511719,0.70403969,0.69476026
2,700,0.69948220,0.48437500,0.48535156,0.48339844,0.70412433,0.69484019
2,800,0.69958127,0.48095703,0.48535156,0.47656250,0.70422852,0.69493383
2,900,0.69970363,0.47949219,0.48535156,0.47363281,0.70436388,0.69504344
2,1000,0.69983476,0.47802734,0.48535156,0.47070312,0.70451289,0.69515669
2,1100,0.69997203,0.47851562,0.48535156,0.47167969,0.70467198,0.69527203
2,1200,0.70014620,0.47753906,0.48535156,0.46972656,0.70489776,0.69539464
2,1300,0.70031619,0.47851562,0.48535156,0.47167969,0.70511258,0.69551980
2,1400,0.70048714,0.47949219,0.48535156,0.47363281,0.70532995,0.69564420
2,1500,0.70063871,0.47949219,0.48535156,0.47363281,0.70551103,0.69576645
2,1600,0.70079327,0.47851562,0.48437500,0.47265625,0.70569879,0.69588780
2,1700,0.70091951,0.47753906,0.48437500,0.47070312,0.70584166,0.69599742
2,1800,0.70105410,0.47509766,0.48339844,0.46679688,0.70599008,0.69611818
2,1900,0.70117044,0.47509766,0.48339844,0.46679688,0.70609748,0.69624346
2,2000,0.70131189,0.47753906,0.48437500,0.47070312,0.70624888,0.69637483
2,2100,0.70143592,0.47607422,0.48437500,0.46777344,0.70636576,0.69650608
2,2200,0.70153940,0.47558594,0.48437500,0.46679688,0.70645040,0.69662833
2,2300,0.70165974,0.47949219,0.48437500,0.47460938,0.70654511,0.69677436
2,2400,0.70174587,0.48144531,0.48437500,0.47851562,0.70657992,0.69691181
2,2500,0.70184219,0.48339844,0.48339844,0.48339844,0.70664275,0.69704175
2,2600,0.70193577,0.48193359,0.48339844,0.48046875,0.70667458,0.69719696
2,2700,0.70204866,0.48388672,0.48339844,0.48437500,0.70672643,0.69737089
2,2800,0.70216167,0.48388672,0.48339844,0.48437500,0.70678914,0.69753432
2,2900,0.70227039,0.48339844,0.48339844,0.48339844,0.70685220,0.69768870
2,3000,0.70242047,0.48535156,0.48242188,0.48828125,0.70695651,0.69788432
2,3100,0.70253128,0.48876953,0.48339844,0.49414062,0.70697826,0.69808424
2,3200,0.70263201,0.48925781,0.48339844,0.49511719,0.70698619,0.69827777
2,3300,0.70269692,0.48583984,0.47949219,0.49218750,0.70689774,0.69849616
2,3400,0.70277798,0.48388672,0.47949219,0.48828125,0.70678818,0.69876778
2,3500,0.70293880,0.48144531,0.47949219,0.48339844,0.70676732,0.69911039
2,3600,0.70311898,0.47705078,0.47656250,0.47753906,0.70668793,0.69954997
2,3700,0.70340669,0.47705078,0.47656250,0.47753906,0.70665765,0.70015574
2,3800,0.70374376,0.47802734,0.47656250,0.47949219,0.70650864,0.70097888
2,3900,0.70414841,0.48095703,0.47460938,0.48730469,0.70628047,0.70201635
2,4000,0.70467842,0.48242188,0.47460938,0.49023438,0.70614314,0.70321369
2,4100,0.70541960,0.48486328,0.47558594,0.49414062,0.70611900,0.70472014
2,4200,0.70636863,0.48339844,0.47363281,0.49316406,0.70628631,0.70645100
2,4300,0.70733958,0.48388672,0.47265625,0.49511719,0.70620281,0.70847642
2,4400,0.70846945,0.48437500,0.47265625,0.49609375,0.70619762,0.71074128
2,4500,0.70975572,0.48681641,0.47167969,0.50195312,0.70617735,0.71333390
2,4600,0.71124190,0.48681641,0.47265625,0.50097656,0.70634252,0.71614134
2,4700,0.71311969,0.48730469,0.47363281,0.50097656,0.70664376,0.71959567
2,4800,0.71521747,0.48388672,0.47265625,0.49511719,0.70702362,0.72341132
2,4900,0.71759295,0.48632812,0.47167969,0.50097656,0.70749176,0.72769427
2,5000,0.72024018,0.49023438,0.47167969,0.50878906,0.70784998,0.73263037
2,5100,0.72325462,0.48876953,0.47070312,0.50683594,0.70820749,0.73830175
2,5200,0.72682464,0.49121094,0.46972656,0.51269531,0.70893532,0.74471402
2,5300,0.73083830,0.48730469,0.46679688,0.50781250,0.70928979,0.75238681
2,5400,0.73466498,0.48974609,0.46679688,0.51269531,0.70975977,0.75957018
2,5500,0.73498511,0.49023438,0.46289062,0.51757812,0.70982873,0.76014161
2,5600,0.71257174,0.51318359,0.45507812,0.57128906,0.70924312,0.71590030
2,5700,0.57927155,0.62109375,0.46875000,0.77343750,0.71298891,0.44555417
2,5800,0.41645911,0.72998047,0.47753906,0.98242188,0.73567528,0.09724294
2,5900,0.38689798,0.73828125,0.47949219,0.99707031,0.74696070,0.02683530
2,6000,0.38334867,0.73974609,0.48046875,0.99902344,0.75338411,0.01331324
2,6100,0.38314179,0.74023438,0.48144531,0.99902344,0.75778568,0.00849790
2,6200,0.38350239,0.74023438,0.48046875,1.00000000,0.76096904,0.00603568
2,6300,0.38419417,0.74023438,0.48046875,1.00000000,0.76372355,0.00466476
2,6400,0.38464090,0.74023438,0.48046875,1.00000000,0.76555330,0.00372852
2,6500,0.38513312,0.74121094,0.48242188,1.00000000,0.76716089,0.00310532
2,6600,0.38556215,0.74169922,0.48339844,1.00000000,0.76848042,0.00264387
2,6700,0.38594562,0.74169922,0.48339844,1.00000000,0.76959926,0.00229201
2,6800,0.38629311,0.74169922,0.48339844,1.00000000,0.77057248,0.00201378
2,6900,0.38665560,0.74169922,0.48339844,1.00000000,0.77151191,0.00179928
2,7000,0.38697183,0.74218750,0.48437500,1.00000000,0.77232027,0.00162327
2,7100,0.38727126,0.74267578,0.48535156,1.00000000,0.77306300,0.00147956
