seed,total-variance,feature1-xor_xor_xor
4,7.32455540,0.39243267
4,7.34903288,0.39285996
4,7.37288904,0.39327963
4,7.39668846,0.39369191
4,7.41986799,0.39409782
4,7.44293213,0.39449448
4,7.46566772,0.39488423
4,7.48810577,0.39526844
4,7.51041412,0.39564791
4,7.53199244,0.39602063
4,7.55343628,0.39638730
4,7.57484245,0.39674761
4,7.59588814,0.39710089
4,7.61666250,0.39744744
4,7.63658524,0.39778367
