seed,total-variance,feature1-xor_xor_xor
1,8.74745560,0.44468429
2,0.13867646,-0.00263049
2,0.13235325,-0.00248687
2,0.13147616,-0.00248423
2,0.13127603,-0.00246035
2,0.13147607,-0.00241347
2,0.13208272,-0.00237055
2,0.13320515,-0.00234302
2,0.13472462,-0.00231301
2,0.13647351,-0.00229379
2,0.13819298,-0.00228647
2,0.13979615,-0.00228806
2,0.14153531,-0.00228995
2,0.14333260,-0.00228403
2,0.14529178,-0.00227174
2,0.14722002,-0.00226911
2,0.14923504,-0.00226035
2,0.15118022,-0.00224341
2,0.15330461,-0.00221451
2,0.15557720,-0.00218159
2,0.15787801,-0.00214029
2,0.16049421,-0.00209846
2,0.16317458,-0.00204387
2,0.16600187,-0.00198911
2,0.16903855,-0.00194792
2,0.17203087,-0.00193045
2,0.17490639,-0.00191168
2,0.17787305,-0.00189524
2,0.18064724,-0.00187243
2,0.18337305,-0.00185407
2,0.18617496,-0.00183664
2,0.18891107,-0.00182822
2,0.19197282,-0.00183036
2,0.19535851,-0.00183318
2,0.19910710,-0.00185036
2,0.20308144,-0.00187468
2,0.20667991,-0.00188383
2,0.21068472,-0.00188465
2,0.21552721,-0.00189754
2,0.22083318,-0.00190379
2,0.22624272,-0.00191600
2,0.23220083,-0.00193403
2,0.23914681,-0.00195217
2,0.24672616,-0.00195915
2,0.25449821,-0.00196338
2,0.26284349,-0.00198009
2,0.27108866,-0.00201547
2,0.27958402,-0.00204238
2,0.28832275,-0.00206652
2,0.29738995,-0.00209044
2,0.30667585,-0.00214071
2,0.31585777,-0.00220236
2,0.32543445,-0.00225097
2,0.33552340,-0.00228202
2,0.34606120,-0.00236378
2,0.35662949,-0.00244756
2,0.36780450,-0.00252030
2,0.37950835,-0.00249569
2,0.39210981,-0.00253378
2,0.40468895,-0.00263411
2,0.41955125,-0.00253975
2,0.47483590,0.00438421
2,0.90468490,0.11969941
2,2.77830005,0.27495251
2,4.07302761,0.31706970
2,4.91346025,0.33472444
2,5.52830219,0.34543063
2,6.01578856,0.35274606
2,6.41731167,0.35811935
2,6.75913906,0.36236793
2,7.05753136,0.36580886
2,7.32141495,0.36868033
2,7.55784035,0.37113134
2,7.77275562,0.37327315
2,7.96865988,0.37517912
2,8.14990616,0.37687910
