seed,epoch,test-loss,total-acc,test-acc_feature0-linear,test-acc_feature1-xor_xor_xor,test-loss_feature0-linear,test-loss_feature1-xor_xor_xor
7,8000,0.34760535,0.74365234,1.00000000,0.48730469,0.00004266,0.69516802
7,8500,0.34750873,0.74218750,1.00000000,0.48437500,0.00004013,0.69497740
7,9000,0.34677994,0.75000000,1.00000000,0.50000000,0.00003789,0.69352198
7,9500,0.33982131,0.79980469,1.00000000,0.59960938,0.00003905,0.67960352
7,10000,0.28802744,0.90722656,1.00000000,0.81445312,0.00005794,0.57599688
7,10500,0.03312235,0.99804688,1.00000000,0.99609375,0.00015030,0.06609440
7,11000,0.00349030,1.00000000,1.00000000,1.00000000,0.00011037,0.00687022
7,11500,0.00143300,1.00000000,1.00000000,1.00000000,0.00008238,0.00278363
7,12000,0.00084336,1.00000000,1.00000000,1.00000000,0.00006416,0.00162256
8,0,0.69180274,0.49658203,0.48925781,0.50390625,0.69000798,0.69359744
8,500,0.34751123,0.74414062,1.00000000,0.48828125,0.00164875,0.69337362
8,1000,0.34674004,0.74121094,1.00000000,0.48242188,0.00055383,0.69292629
8,1500,0.34641385,0.74804688,1.00000000,0.49609375,0.00031301,0.69251478
8,2000,0.34617597,0.75195312,1.00000000,0.50390625,0.00021357,0.69213831
8,2500,0.34600383,0.75683594,1.00000000,0.51367188,0.00016042,0.69184721
8,3000,0.34584689,0.75830078,1.00000000,0.51660156,0.00012699,0.69156677
8,3500,0.34569705,0.76220703,1.00000000,0.52441406,0.00010430,0.69128978
8,4000,0.34556311,0.76123047,1.00000000,0.52246094,0.00008812,0.69103813
8,4500,0.34544128,0.76220703,1.00000000,0.52441406,0.00007606,0.69080657
8,5000,0.34534749,0.76611328,1.00000000,0.53222656,0.00006637,0.69062859
8,5500,0.34526199,0.77001953,1.00000000,0.54003906,0.00005853,0.69046545
8,6000,0.34515974,0.77197266,1.00000000,0.54394531,0.00005196,0.69026756
8,6500,0.34502015,0.77490234,1.00000000,0.54980469,0.00004688,0.68999344
8,7000,0.34467626,0.77490234,1.00000000,0.54980469,0.00004456,0.68930805
8,7500,0.34146246,0.80468750,1.00000000,0.60937500,0.00007741,0.68284738
8,8000,0.30473429,0.87060547,1.00000000,0.74121094,0.00201558,0.60745305
8,8500,0.15244997,0.96240234,1.00000000,0.92480469,0.00277023,0.30212969
8,9000,0.03484004,0.99414062,1.00000000,0.98828125,0.00077396,0.06890612
