seed,epoch,test-loss,total-acc,test-acc_feature1,test-loss_feature1
2,6200,0.04576738,0.99707031,0.99707031,0.04576738
2,6300,0.01590418,1.00000000,1.00000000,0.01590418
2,6400,0.00856484,1.00000000,1.00000000,0.00856484
2,6500,0.00559848,1.00000000,1.00000000,0.00559848
2,6600,0.00405069,1.00000000,1.00000000,0.00405069
2,6700,0.00311488,1.00000000,1.00000000,0.00311488
2,6800,0.00249556,1.00000000,1.00000000,0.00249556
2,6900,0.00206224,1.00000000,1.00000000,0.00206224
2,7000,0.00174818,1.00000000,1.00000000,0.00174818
2,7100,0.00151118,1.00000000,1.00000000,0.00151118
2,7200,0.00132574,1.00000000,1.00000000,0.00132574
2,7300,0.00117846,1.00000000,1.00000000,0.00117846
2,7400,0.00105838,1.00000000,1.00000000,0.00105838
2,7500,0.00095885,1.00000000,1.00000000,0.00095885
3,0,0.69345546,0.50878906,0.50878906,0.69345546
3,100,0.69349962,0.50292969,0.50292969,0.69349962
3,200,0.69361079,0.49609375,0.49609375,0.69361079
3,300,0.69371110,0.49316406,0.49316406,0.69371110
3,400,0.69380689,0.49121094,0.49121094,0.69380689
3,500,0.69390452,0.49316406,0.49316406,0.69390452
3,600,0.69397378,0.49707031,0.49707031,0.69397378
3,700,0.69404942,0.49414062,0.49414062,0.69404942
3,800,0.69412440,0.49218750,0.49218750,0.69412440
3,900,0.69420278,0.49316406,0.49316406,0.69420278
3,1000,0.69429338,0.49707031,0.49707031,0.69429338
3,1100,0.69441164,0.50000000,0.50000000,0.69441164
3,1200,0.69454086,0.49804688,0.49804688,0.69454086
3,1300,0.69467777,0.49707031,0.49707031,0.69467777
3,1400,0.69479841,0.49609375,0.49609375,0.69479841
3,1500,0.69492495,0.49804688,0.49804688,0.69492495
3,1600,0.69505519,0.49316406,0.49316406,0.69505519
3,1700,0.69519508,0.49609375,0.49609375,0.69519508
3,1800,0.69531775,0.50097656,0.50097656,0.69531775
3,1900,0.69544929,0.50000000,0.50000000,0.69544929
3,2000,0.69558865,0.49902344,0.49902344,0.69558865
3,2100,0.69573814,0.50097656,0.50097656,0.69573814
3,2200,0.69592047,0.49902344,0.49902344,0.69592047
3,2300,0.69607842,0.49902344,0.49902344,0.69607842
3,2400,0.69621491,0.50195312,0.50195312,0.69621491
3,2500,0.69634759,0.50292969,0.50292969,0.69634759
3,2600,0.69652009,0.50000000,0.50000000,0.69652009
3,2700,0.69670653,0.50097656,0.50097656,0.69670653
3,2800,0.69693720,0.50195312,0.50195312,0.69693720
3,2900,0.69716382,0.50683594,0.50683594,0.69716382
